Dia,Hora de início,Impressões
Domingo,00,8.376
Domingo,01,308
Domingo,02,168
Domingo,03,120
Domingo,04,57
Domingo,05,299
Domingo,06,157
Domingo,07,156
Domingo,08,360
Domingo,09,455
Domingo,10,1.143
Domingo,11,69
Domingo,12,50
Domingo,13,50
Domingo,14,60
Domingo,15,89
Domingo,16,71
Domingo,17,62
Domingo,18,84
Domingo,19,63
Domingo,20,1.733
Domingo,21,71
Domingo,22,72
Domingo,23,64
Segunda-feira,00,2.684
Segunda-feira,01,1.123
Segunda-feira,02,355
Segunda-feira,03,160
Segunda-feira,04,94
Segunda-feira,05,299
Segunda-feira,06,606
Segunda-feira,07,786
Segunda-feira,08,647
Segunda-feira,09,551
Segunda-feira,10,102
Segunda-feira,11,123
Segunda-feira,12,109
Segunda-feira,13,112
Segunda-feira,14,105
Segunda-feira,15,113
Segunda-feira,16,115
Segunda-feira,17,90
Segunda-feira,18,77
Segunda-feira,19,130
Segunda-feira,20,89
Segunda-feira,21,83
Segunda-feira,22,99
Segunda-feira,23,76
Terça-feira,00,2.365
Terça-feira,01,1.119
Terça-feira,02,446
Terça-feira,03,377
Terça-feira,04,289
Terça-feira,05,251
Terça-feira,06,622
Terça-feira,07,46
Terça-feira,08,109
Terça-feira,09,96
Terça-feira,10,139
Terça-feira,11,93
Terça-feira,12,95
Terça-feira,13,84
Terça-feira,14,96
Terça-feira,15,1.291
Terça-feira,16,156
Terça-feira,17,79
Terça-feira,18,58
Terça-feira,19,144
Terça-feira,20,593
Terça-feira,21,661
Terça-feira,22,45
Terça-feira,23,33
Quarta-feira,00,2.432
Quarta-feira,01,1.797
Quarta-feira,02,1.111
Quarta-feira,03,558
Quarta-feira,04,334
Quarta-feira,05,735
Quarta-feira,06,1.106
Quarta-feira,07,44
Quarta-feira,08,22
Quarta-feira,09,24
Quarta-feira,10,63
Quarta-feira,11,114
Quarta-feira,12,90
Quarta-feira,13,119
Quarta-feira,14,93
Quarta-feira,15,107
Quarta-feira,16,100
Quarta-feira,17,76
Quarta-feira,18,42
Quarta-feira,19,50
Quarta-feira,20,60
Quarta-feira,21,35
Quarta-feira,22,29
Quarta-feira,23,17
Quinta-feira,00,4.105
Quinta-feira,01,1.735
Quinta-feira,02,548
Quinta-feira,03,203
Quinta-feira,04,483
Quinta-feira,05,22
Quinta-feira,06,92
Quinta-feira,07,157
Quinta-feira,08,259
Quinta-feira,09,118
Quinta-feira,10,107
Quinta-feira,11,114
Quinta-feira,12,79
Quinta-feira,13,96
Quinta-feira,14,78
Quinta-feira,15,89
Quinta-feira,16,68
Quinta-feira,17,65
Quinta-feira,18,53
Quinta-feira,19,23
Quinta-feira,20,21
Quinta-feira,21,22
Quinta-feira,22,22
Quinta-feira,23,26
Sexta-feira,00,3.395
Sexta-feira,01,718
Sexta-feira,02,112
Sexta-feira,03,35
Sexta-feira,04,28
Sexta-feira,05,64
Sexta-feira,06,166
Sexta-feira,07,178
Sexta-feira,08,280
Sexta-feira,09,72
Sexta-feira,10,79
Sexta-feira,11,64
Sexta-feira,12,83
Sexta-feira,13,69
Sexta-feira,14,488
Sexta-feira,15,494
Sexta-feira,16,161
Sexta-feira,17,214
Sexta-feira,18,617
Sexta-feira,19,129
Sexta-feira,20,419
Sexta-feira,21,27
Sexta-feira,22,53
Sexta-feira,23,12
Sábado,00,3.766
Sábado,01,929
Sábado,02,304
Sábado,03,105
Sábado,04,83
Sábado,05,272
Sábado,06,173
Sábado,07,236
Sábado,08,459
Sábado,09,809
Sábado,10,627
Sábado,11,68
Sábado,12,49
Sábado,13,41
Sábado,14,74
Sábado,15,41
Sábado,16,36
Sábado,17,58
Sábado,18,63
Sábado,19,44
Sábado,20,49
Sábado,21,50
Sábado,22,45
Sábado,23,32
