Semana,Cliques,Impressões,CPC méd.,Custo
Semana de 7 de abr. de 2025,0,0,"R$ 0,00","R$ 0,00"
Semana de 14 de abr. de 2025,0,0,"R$ 0,00","R$ 0,00"
Semana de 21 de abr. de 2025,0,0,"R$ 0,00","R$ 0,00"
Semana de 28 de abr. de 2025,0,0,"R$ 0,00","R$ 0,00"
Semana de 5 de mai. de 2025,0,0,"R$ 0,00","R$ 0,00"
Semana de 12 de mai. de 2025,0,0,"R$ 0,00","R$ 0,00"
Semana de 19 de mai. de 2025,0,0,"R$ 0,00","R$ 0,00"
Semana de 26 de mai. de 2025,0,0,"R$ 0,00","R$ 0,00"
Semana de 2 de jun. de 2025,0,0,"R$ 0,00","R$ 0,00"
Semana de 9 de jun. de 2025,0,0,"R$ 0,00","R$ 0,00"
Semana de 16 de jun. de 2025,0,0,"R$ 0,00","R$ 0,00"
Semana de 23 de jun. de 2025,0,0,"R$ 0,00","R$ 0,00"
Semana de 30 de jun. de 2025,0,0,"R$ 0,00","R$ 0,00"
Semana de 7 de jul. de 2025,0,0,"R$ 0,00","R$ 0,00"
Semana de 14 de jul. de 2025,51,880,"R$ 2,56","R$ 130,48"
Semana de 21 de jul. de 2025,83,779,"R$ 1,77","R$ 146,50"
Semana de 28 de jul. de 2025,57,910,"R$ 1,74","R$ 99,46"
Semana de 4 de ago. de 2025,72,860,"R$ 1,84","R$ 132,36"
Semana de 11 de ago. de 2025,151,11.245,"R$ 0,91","R$ 137,27"
Semana de 18 de ago. de 2025,169,5.411,"R$ 0,80","R$ 134,85"
Semana de 25 de ago. de 2025,178,6.497,"R$ 0,79","R$ 140,70"
Semana de 1 de set. de 2025,212,6.367,"R$ 0,43","R$ 91,32"
Semana de 8 de set. de 2025,223,4.889,"R$ 0,95","R$ 211,42"
Semana de 15 de set. de 2025,139,3.153,"R$ 0,52","R$ 72,05"
Semana de 22 de set. de 2025,140,3.534,"R$ 0,74","R$ 104,14"
Semana de 29 de set. de 2025,243,6.418,"R$ 0,56","R$ 135,56"
Semana de 6 de out. de 2025,317,9.344,"R$ 0,60","R$ 191,08"
Semana de 13 de out. de 2025,225,5.978,"R$ 1,16","R$ 261,62"
